Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Age,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
5008827,1,1,1,0,180000.0,1,1,1,1,-18772.0,51,-4,1,0,0,0,3,2,1
5009744,0,1,0,0,315000.0,0,1,1,1,-13557.0,37,-2,1,1,1,0,3,2,1
5009746,0,1,0,0,315000.0,0,1,1,1,-16047.0,44,-2,1,1,1,0,3,2,1
5009749,0,1,0,0,225952.23214285713,0,1,1,1,-13557.0,37,-2,1,1,1,0,3,2,1
5009752,0,1,0,0,315000.0,0,1,1,1,-13557.0,37,-2,1,1,1,0,3,2,1
5009754,0,1,0,0,315000.0,0,1,1,1,-13557.0,37,-2,1,1,1,0,3,2,1
5009894,0,0,0,0,180000.0,1,4,1,1,-22134.0,61,-4,1,0,0,0,3,2,1
5010864,1,1,1,1,450000.0,0,4,1,1,-18173.0,50,-2,1,0,1,1,3,3,1
5010868,1,1,1,1,450000.0,1,4,1,1,-18173.0,50,-2,1,0,1,1,3,3,1
5010869,1,1,1,1,450000.0,0,4,3,1,-18173.0,50,-2,1,0,1,1,3,1,1
5018498,0,1,1,0,90000.0,3,4,1,1,-18950.0,52,-3,1,1,1,0,2,2,1
5018501,0,1,1,0,142593.75,3,4,1,1,-18950.0,52,-3,1,1,1,0,2,2,1
5018503,0,1,1,0,90000.0,3,4,1,1,-18950.0,52,-3,1,1,1,0,2,2,1
5021303,1,0,0,1,472500.0,1,1,1,5,-8907.0,24,-3,1,0,0,1,3,3,1
5021310,1,0,1,0,270000.0,3,4,1,1,-16896.0,46,-1,1,0,0,0,8,2,1
5021314,1,0,1,0,270000.0,3,4,3,1,-16896.0,46,-1,1,0,0,0,8,2,1
5021430,0,0,1,0,126000.0,0,1,3,1,-18907.0,52,-7,1,0,0,0,14,1,1
5021431,0,0,1,0,126000.0,0,1,3,1,-18907.0,52,-7,1,0,0,0,14,1,1
5021998,1,0,1,0,90000.0,1,4,1,1,-18863.0,52,-5,1,0,0,1,3,2,1
