Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Age,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,51,-4,1,0,0,0,Core staff,2,1
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,37,-2,1,1,1,0,Core staff,2,1
5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-16047.0,44,-2,1,1,1,0,Core staff,2,1
5009749,F,Y,N,0,225952.23214285713,Commercial associate,Higher education,Married,House / apartment,-13557.0,37,-2,1,1,1,0,Core staff,2,1
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,37,-2,1,1,1,0,Core staff,2,1
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,37,-2,1,1,1,0,Core staff,2,1
5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22134.0,61,-4,1,0,0,0,Core staff,2,1
5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173.0,50,-2,1,0,1,1,Core staff,3,1
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18173.0,50,-2,1,0,1,1,Core staff,3,1
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18173.0,50,-2,1,0,1,1,Core staff,1,1
5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,52,-3,1,1,1,0,Cooking staff,2,1
5018501,F,Y,Y,0,142593.75,Working,Secondary / secondary special,Married,House / apartment,-18950.0,52,-3,1,1,1,0,Cooking staff,2,1
5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,52,-3,1,1,1,0,Cooking staff,2,1
5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,-8907.0,24,-3,1,0,0,1,Core staff,3,1
5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896.0,46,-1,1,0,0,0,Laborers,2,1
5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16896.0,46,-1,1,0,0,0,Laborers,2,1
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907.0,52,-7,1,0,0,0,Sales staff,1,1
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907.0,52,-7,1,0,0,0,Sales staff,1,1
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18863.0,52,-5,1,0,0,1,Core staff,2,1
5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,-12811.0,35,-12,1,0,0,0,Core staff,1,1
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12022.0,33,-5,1,0,0,1,Laborers,2,1
5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-17800.0,49,-3,1,0,0,0,Accountants,2,1
5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12135.0,33,-3,1,0,0,0,Sales staff,4,1
5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15976.0,44,-2,1,0,0,0,Laborers,2,1
5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-15702.0,43,-1,1,0,1,0,Core staff,2,1
5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21832.0,60,-4,1,0,1,0,Core staff,2,1
